Class,Role,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,y
Fighter,TOP,55.11,-3.14,48.97%,94.09%,4.33%,1.97%,1.92,A
Mage,MID,55.85,2.64,50.71%,93.24%,4.56%,1.04%,2.55,A
Assassin,TOP,87.73,29.87,49.70%,44.38%,6.19%,21.71%,2.13,God
Assassin,MID,74.58,9.28,49.85%,55.40%,8.26%,21.71%,2.42,S
Marksman,MID,63.49,3.64,51.94%,59.70%,4.86%,23.10%,2.28,S
Marksman,TOP,56.86,0.98,51.71%,33.35%,2.70%,23.10%,2,A
Tank,SUPPORT,43.57,-2.51,50.07%,98.09%,3.26%,0.67%,2.5,B
Tank,JUNGLE,53.55,7.86,52.93%,86.38%,3.74%,1.64%,2.68,A
Tank,SUPPORT,31.37,-4.51,50.03%,12.29%,0.36%,1.64%,2.05,D
Mage,MID,54.65,1.28,52.20%,82.13%,3.20%,2.91%,2.63,A
Mage,SUPPORT,25.66,-6.07,47.11%,11.75%,0.40%,2.92%,2.14,D
Mage,MID,45.69,-3.12,50.77%,84.72%,1.99%,0.65%,2.39,B
Marksman,ADC,37.52,1.55,47.30%,98.31%,6.45%,1.26%,2.04,C
Marksman,ADC,36.88,-6.2,48.52%,90.75%,4.40%,0.83%,2.27,C
Mage,MID,41.78,-0.37,50.45%,88.01%,0.89%,0.26%,2.53,B
Mage,MID,33.91,1.22,47.43%,92.57%,1.11%,0.20%,2.09,C
Support,SUPPORT,48.36,-1.45,50.65%,97.43%,3.58%,0.87%,3.01,A
Tank,SUPPORT,72.94,5.14,52.80%,99.27%,8.28%,18.58%,2.46,S
Mage,SUPPORT,41.45,-3.75,48.71%,75.97%,4.18%,5.40%,1.78,B
Mage,MID,37.88,-3.33,50.04%,14.02%,0.80%,5.92%,1.98,B
Support,SUPPORT,40.45,-6.29,49.42%,99.06%,2.44%,0.33%,2.74,B
Marksman,ADC,84.24,-4.25,50.12%,98.50%,18.96%,19.84%,2.31,God
Fighter,TOP,81.87,-2.74,50.36%,96.90%,6.64%,6.65%,2,God
Mage,MID,47.6,3.52,51.63%,71.07%,2.39%,1.43%,2.13,A
Mage,TOP,28.42,2.22,50.83%,19.16%,0.67%,1.39%,1.81,D
Tank,TOP,47.05,-5.71,50.94%,68.83%,2.57%,0.87%,2.14,A
Tank,MID,38.75,1,50.00%,19.46%,0.53%,0.87%,2.38,B
Marksman,MID,68.01,9.82,49.34%,93.02%,8.73%,6.56%,2.17,S
Fighter,TOP,83.17,-0.79,48.79%,95.80%,6.72%,15.35%,1.85,God
Fighter,JUNGLE,91.29,8.33,51.25%,86.44%,13.02%,19.18%,2.46,God
Fighter,MID,46.58,-2.47,51.14%,12.82%,1.94%,19.18%,2.16,B
Marksman,TOP,58.14,-4.59,51.06%,91.82%,3.73%,2.69%,2.19,A
Fighter,ADC,44.81,-1.56,50.93%,94.91%,5.33%,10.37%,2.16,B
Assassin,JUNGLE,57.22,1.29,50.44%,64.85%,6.17%,3.99%,2.74,A
Assassin,MID,49.04,2.26,50.64%,33.14%,3.03%,3.99%,2.29,A
Mage,JUNGLE,41.41,0.82,50.37%,95.75%,2.12%,1.56%,2.56,B
Assassin,JUNGLE,47.98,-0.06,50.07%,98.88%,3.35%,8.33%,2.92,A
Marksman,ADC,71.21,-4.77,48.80%,97.15%,18.07%,5.07%,2.36,S
Mage,JUNGLE,44.63,-1.37,50.43%,93.42%,2.75%,2.53%,2.7,B
Fighter,TOP,78.31,3.22,50.41%,97.66%,6.17%,10.46%,1.77,God
Assassin,MID,52.91,0.66,50.17%,96.17%,4.08%,4.45%,2.44,A
Tank,MID,44.05,-2.81,49.33%,61.58%,1.98%,0.43%,2.65,B
Tank,SUPPORT,28.64,-8.25,47.11%,35.02%,1.08%,0.43%,2.28,D
Fighter,TOP,60.8,-4.78,47.01%,87.53%,5.44%,4.02%,1.98,A
Fighter,MID,37.83,1.26,49.29%,12.80%,0.80%,4.00%,2.28,B
Fighter,TOP,77.32,3.32,50.46%,88.37%,6.33%,2.42%,2.06,God
Fighter,TOP,47.37,0.28,49.37%,97.96%,3.21%,0.65%,2.03,A
Fighter,TOP,42.66,5.2,48.39%,50.02%,2.72%,0.40%,2.28,B
Fighter,JUNGLE,34.6,-1.51,47.84%,34.19%,1.60%,0.40%,2.7,C
Marksman,JUNGLE,55.91,-3.92,49.66%,70.68%,6.37%,6.21%,2.61,A
Marksman,TOP,36.78,-6,49.53%,22.57%,2.01%,6.21%,1.76,C
Fighter,TOP,66.53,11.88,49.14%,75.56%,5.66%,4.20%,1.74,S
Fighter,JUNGLE,37.68,-0.99,49.70%,21.69%,1.73%,4.20%,2.38,C
Fighter,JUNGLE,80.61,9.35,50.86%,99.35%,10.45%,15.56%,3,God
Mage,MID,39.53,3.64,51.01%,34.57%,0.79%,0.80%,1.95,B
Mage,ADC,35.21,1.2,52.58%,11.94%,0.23%,0.80%,2.14,C
Mage,SUPPORT,30.25,-3.59,50.36%,11.31%,0.18%,0.80%,1.79,D
Mage,TOP,21.13,-3.02,48.05%,41.90%,0.85%,0.80%,1.62,D
Fighter,TOP,33.12,-0.99,49.12%,93.87%,1.97%,2.42%,1.57,C
Fighter,TOP,75.84,-5.51,49.48%,59.75%,5.69%,19.73%,1.61,S
Fighter,MID,48.39,0.32,49.17%,39.53%,3.71%,19.73%,1.77,A
Support,JUNGLE,42.61,3.78,50.30%,84.62%,1.07%,0.29%,3.42,B
Support,SUPPORT,90.63,38.71,53.21%,95.09%,12.80%,6.93%,3.24,God
Tank,JUNGLE,56.8,1.87,50.15%,94.66%,5.40%,0.68%,3.36,A
Fighter,TOP,75.48,-6.68,49.85%,85.59%,6.21%,10.13%,1.61,S
Fighter,JUNGLE,34.27,-0.43,49.82%,13.13%,1.01%,9.63%,2.17,C
Fighter,TOP,62.61,-10.95,48.03%,75.34%,5.61%,2.93%,1.75,S
Fighter,MID,37.83,-1.46,48.43%,23.69%,1.63%,2.93%,2.05,B
Marksman,ADC,92.76,-1.47,51.35%,98.76%,22.86%,5.69%,3.02,God
Marksman,ADC,86.87,0.11,51.32%,99.54%,21.60%,7.36%,2.41,God
Marksman,ADC,63.18,-12.33,49.33%,97.46%,14.32%,3.72%,2.4,S
Marksman,ADC,24.25,-7.26,46.32%,84.85%,1.22%,0.25%,2.18,D
Mage,SUPPORT,65.56,2.13,48.15%,90.53%,10.08%,4.30%,2.71,S
Mage,ADC,39.39,-2.87,53.61%,17.97%,0.75%,2.84%,2.25,B
Mage,JUNGLE,34.38,-5.2,47.93%,60.54%,1.93%,2.84%,2.4,C
Mage,MID,32.38,-9.75,47.80%,12.27%,0.35%,2.84%,2.16,C
Assassin,MID,57.13,-1.03,50.93%,97.06%,4.25%,12.61%,2.48,A
Assassin,MID,64.23,2.24,50.10%,95.10%,6.95%,9.05%,2.33,S
Fighter,TOP,50.22,1.97,51.31%,76.24%,3.13%,1.17%,1.81,A
Fighter,MID,39.88,-0.86,50.47%,21.82%,0.82%,1.17%,2.21,B
Fighter,JUNGLE,69.15,0.04,50.04%,98.36%,9.58%,11.28%,2.4,S
Mage,MID,39.08,-1.32,50.63%,15.48%,0.33%,0.50%,2.32,B
Mage,TOP,32.74,-2.75,48.31%,83.61%,1.86%,0.54%,1.94,C
Assassin,JUNGLE,62.7,2.45,50.87%,98.77%,7.59%,6.82%,2.52,S
Marksman,JUNGLE,50.02,3.33,51.51%,94.64%,4.22%,2.80%,2.31,A
Fighter,TOP,42.36,2.09,51.37%,88.65%,1.64%,0.75%,2.37,B
Marksman,ADC,37.52,-2.28,52.15%,87.56%,1.48%,0.32%,2.2,C
Assassin,MID,58.36,-0.79,48.82%,95.60%,5.30%,10.47%,2.85,A
Fighter,JUNGLE,91.81,-0.08,48.25%,95.08%,15.18%,14.82%,2.79,God
Tank,SUPPORT,65.56,0.12,49.66%,99.47%,8.88%,12.63%,2.35,S
Fighter,JUNGLE,41.81,-0.7,49.65%,85.81%,2.52%,0.79%,2.68,B
Fighter,TOP,26.39,2.06,50.49%,11.81%,0.37%,0.86%,1.97,D
Mage,MID,47.8,0.51,50.33%,91.26%,2.78%,0.60%,2.42,A
Marksman,ADC,44.26,-4.22,49.63%,82.69%,6.59%,2.00%,2.24,B
Marksman,MID,29.43,0,46.36%,11.24%,0.73%,2.00%,1.92,D
Support,SUPPORT,92.89,-0.68,50.03%,96.96%,12.81%,22.69%,3.04,God
Mage,SUPPORT,85.6,3.31,49.38%,67.15%,13.76%,11.63%,2.5,God
Mage,MID,66.68,-0.24,50.55%,29.74%,6.26%,11.63%,2.91,S
Tank,TOP,64.73,-2.91,50.44%,76.22%,4.50%,3.85%,2.36,S
Tank,MID,35.89,-4.35,48.33%,10.82%,0.70%,3.92%,2.36,C
Tank,SUPPORT,20.53,-8.64,44.43%,10.85%,0.75%,3.96%,2,D
Mage,MID,51.65,2.08,51.36%,90.59%,3.48%,2.87%,2.2,A
Tank,SUPPORT,39.1,-0.41,51.78%,76.57%,1.27%,0.13%,2.23,B
Tank,TOP,26.22,1.58,50.46%,17.83%,0.29%,0.13%,2.04,D
Assassin,JUNGLE,63.71,-0.88,49.59%,93.62%,7.54%,17.73%,2.04,S
Marksman,ADC,50.19,-0.47,51.18%,94.32%,7.32%,1.85%,2.35,A
Fighter,TOP,72.83,6.88,51.57%,86.49%,5.39%,5.91%,1.84,S
Mage,SUPPORT,69.72,-1.31,48.96%,91.47%,8.24%,24.89%,2.5,S
Support,SUPPORT,72.58,-0.71,51.66%,99.61%,9.59%,1.86%,3.22,S
Fighter,TOP,71.09,6.13,52.88%,86.34%,4.76%,4.74%,1.98,S
Tank,SUPPORT,61.72,1.47,49.23%,97.83%,8.66%,7.87%,2.31,S
Mage,MID,37.9,0.15,48.74%,63.45%,1.19%,0.28%,2.27,B
Mage,SUPPORT,23.34,-8.2,46.61%,23.72%,0.45%,0.28%,1.84,D
Assassin,JUNGLE,47.84,-1.26,49.16%,92.77%,4.09%,2.40%,2.93,A
Assassin,JUNGLE,52.31,12.6,51.67%,90.30%,4.32%,3.28%,2.56,A
Tank,JUNGLE,57.3,1.83,52.48%,89.75%,4.54%,2.66%,2.99,A
Fighter,JUNGLE,35.5,-1.11,49.01%,84.94%,1.58%,0.74%,2.41,C
Fighter,TOP,7.43,-3.61,44.62%,15.42%,0.26%,0.75%,1.64,D
Mage,MID,46.82,-0.23,48.91%,95.28%,2.94%,0.17%,2.69,A
Tank,TOP,60.11,0.54,50.37%,93.94%,4.19%,0.54%,2.29,A
Fighter,MID,39.84,-1.7,50.03%,25.82%,1.02%,0.89%,2.23,B
Fighter,TOP,31.06,0.27,50.50%,25.56%,0.89%,0.89%,2.02,D
Fighter,SUPPORT,24.51,-8.27,45.07%,41.66%,1.72%,0.89%,1.86,D
Tank,TOP,41.43,1.55,51.34%,37.53%,1.76%,2.56%,2.1,B
Tank,JUNGLE,40.78,-0.82,49.02%,55.49%,2.54%,2.56%,2.71,B
Support,SUPPORT,61.21,1.32,49.20%,88.12%,8.28%,12.00%,2.17,A
Assassin,MID,55.06,-1.47,50.93%,58.61%,4.15%,12.30%,2.14,A
Assassin,JUNGLE,39.94,-2.94,48.76%,38.22%,2.60%,12.30%,2.39,B
Marksman,TOP,34.62,-1.8,51.29%,84.47%,1.22%,0.48%,1.87,C
Support,SUPPORT,51.17,-2.95,49.77%,97.09%,5.10%,0.39%,2.92,A
Tank,JUNGLE,44.85,-3.3,50.70%,95.79%,2.36%,3.00%,2.86,B
Fighter,JUNGLE,48.61,-0.95,51.04%,97.84%,3.78%,3.53%,2.49,A
Tank,SUPPORT,38.51,-4.45,50.47%,99.44%,1.60%,0.38%,2.46,B
Fighter,TOP,54.56,3.96,47.73%,87.59%,4.64%,2.22%,1.91,A
Fighter,MID,36.68,-4.64,49.36%,11.94%,0.62%,2.22%,2.17,C
Assassin,JUNGLE,38.23,-1.11,48.08%,78.19%,3.24%,3.13%,2.22,B
Assassin,TOP,26.81,4.4,49.39%,20.07%,0.87%,2.74%,1.85,D
Fighter,TOP,66.29,0.61,51.93%,91.68%,4.66%,2.09%,1.98,S
Fighter,MID,45.85,0.2,52.55%,34.22%,0.68%,0.21%,2.61,B
Fighter,JUNGLE,25.65,-10.48,45.84%,14.61%,0.25%,0.22%,2.74,D
Fighter,TOP,21.79,-3.54,46.90%,52.08%,0.92%,0.21%,2.01,D
Mage,MID,34.52,-0.59,45.66%,81.85%,2.11%,0.17%,2.22,C
Mage,TOP,15.82,1.52,46.74%,17.79%,0.44%,0.16%,1.81,D
Marksman,ADC,46.39,2,48.46%,97.62%,7.86%,11.10%,2.2,B
Tank,JUNGLE,37.91,-3.01,47.32%,78.27%,2.27%,0.32%,3.08,B
Tank,TOP,27.49,-3.19,49.76%,17.31%,0.38%,0.33%,2.33,D
Marksman,SUPPORT,77.51,31.08,52.29%,67.40%,10.67%,7.43%,2.72,God
Marksman,ADC,57,20.7,54.64%,31.10%,4.81%,7.43%,3.05,A
Mage,ADC,43.2,-2.01,52.97%,19.41%,0.83%,0.89%,3.02,B
Mage,MID,42.66,0.47,50.16%,16.54%,0.78%,0.89%,2.87,B
Mage,SUPPORT,37.17,-2.55,46.97%,63.41%,3.38%,0.89%,2.46,C
Fighter,TOP,92.52,2.29,50.55%,84.73%,7.94%,6.95%,1.79,God
Assassin,JUNGLE,62.02,-0.89,51.45%,84.29%,5.89%,16.70%,2.72,S
Assassin,SUPPORT,34.5,-9,49.69%,11.46%,0.91%,17.55%,2.32,C
Tank,TOP,75.29,-13.17,51.14%,87.66%,5.12%,1.80%,2.9,S
Fighter,JUNGLE,35.65,-0.22,49.19%,82.55%,1.49%,0.25%,2.42,C
Fighter,TOP,25.19,1.36,50.44%,14.94%,0.25%,0.25%,1.97,D
Tank,TOP,41.6,2.43,51.74%,77.82%,1.77%,0.30%,2.03,B
Tank,TOP,53.99,1.18,51.49%,85.87%,3.76%,0.66%,1.6,A
Marksman,ADC,34.14,-5.6,48.89%,97.17%,2.30%,0.43%,2.47,C
Fighter,JUNGLE,40.62,7.46,51.40%,80.95%,0.72%,0.12%,2.86,B
Fighter,TOP,27.23,3.34,49.98%,22.86%,0.17%,0.13%,2.44,D
Support,SUPPORT,56.19,-1.08,52.80%,97.00%,4.56%,0.87%,2.98,A
Support,SUPPORT,60.47,-1.67,51.92%,94.02%,6.45%,3.62%,2.78,A
Mage,ADC,42.2,0.87,53.42%,19.62%,0.44%,1.61%,2.86,B
Mage,MID,40.46,-3.56,50.58%,12.07%,0.37%,1.61%,2.57,B
Mage,SUPPORT,36.23,-3.83,48.42%,62.39%,2.46%,1.61%,2.26,C
Mage,MID,60.12,1.14,50.02%,74.88%,6.53%,3.82%,2.17,A
Mage,TOP,33.63,0.6,48.77%,21.83%,1.88%,3.82%,1.82,C
Mage,MID,46.39,-2.88,48.47%,89.34%,3.72%,1.02%,2.24,B
Support,TOP,53.77,-38.03,49.70%,59.04%,3.14%,10.96%,2.38,A
Support,ADC,45.89,0,54.76%,13.21%,0.43%,10.32%,2.97,B
Support,SUPPORT,35.63,0,49.61%,30.90%,1.31%,10.32%,2.35,C
Mage,JUNGLE,38.71,1.91,50.60%,63.81%,1.09%,0.16%,2.63,B
Mage,MID,37.66,-1.2,49.76%,14.52%,0.24%,0.15%,2.46,C
Mage,SUPPORT,35.37,-7.03,51.83%,19.17%,0.28%,0.15%,2.13,C
Assassin,MID,48.19,4.72,51.05%,51.78%,2.65%,7.51%,2.17,A
Assassin,JUNGLE,35.23,-25.96,48.07%,45.81%,2.16%,7.51%,2.29,C
Support,SUPPORT,36.84,-5.42,49.84%,89.38%,1.16%,0.13%,2.72,C
Marksman,TOP,67.13,4.39,50.80%,84.86%,4.82%,9.04%,1.72,S
Support,SUPPORT,68.46,-1.03,48.11%,99.31%,11.13%,5.27%,2.51,S
Marksman,ADC,44.22,3.93,49.89%,85.54%,5.92%,2.47%,2.36,B
Marksman,MID,39.85,4.75,51.04%,11.72%,0.67%,2.47%,2.08,B
Fighter,JUNGLE,54.58,-0.54,52.39%,67.50%,4.07%,3.16%,2.83,A
Fighter,TOP,39.81,-4.22,51.99%,27.46%,1.72%,3.37%,1.72,B
Fighter,TOP,83.59,6.98,50.31%,81.76%,6.29%,16.10%,1.87,God
Fighter,MID,37.3,-1.01,48.85%,14.11%,1.00%,16.10%,2.11,C
Mage,MID,51.91,2.33,49.53%,94.14%,4.49%,1.11%,2.33,A
Marksman,ADC,48.3,-2.47,51.80%,79.30%,5.71%,3.75%,2.42,A
Fighter,JUNGLE,39.9,2.92,50.40%,94.68%,1.61%,0.48%,2.6,B
Fighter,TOP,62.17,-1.75,51.91%,95.88%,4.12%,2.15%,2.04,S
Marksman,ADC,32.57,1.15,48.93%,92.42%,1.98%,0.17%,2.33,C
Marksman,ADC,65.6,-6.95,51.46%,82.07%,11.72%,18.84%,2.19,S
Marksman,TOP,38.28,-3.59,49.31%,16.10%,2.13%,18.84%,1.53,B
Mage,MID,67.79,20.82,51.96%,71.93%,7.21%,2.91%,2.41,S
Mage,ADC,43.25,6.96,53.47%,17.97%,1.69%,2.91%,2.55,B
Mage,MID,45.1,0.09,51.17%,41.10%,1.19%,0.50%,2.66,B
Mage,SUPPORT,39.14,-0.02,51.03%,53.89%,1.76%,0.50%,2.22,B
Mage,MID,76.44,-0.41,50.67%,84.81%,8.50%,18.90%,2.48,S
Mage,SUPPORT,27.22,-3.09,46.08%,13.85%,1.43%,18.88%,1.96,D
Fighter,JUNGLE,55.99,-2.46,52.49%,96.27%,5.06%,2.15%,2.46,A
Assassin,JUNGLE,87.83,5.35,50.32%,95.78%,13.60%,14.18%,2.51,God
Mage,MID,79.21,-2.25,50.05%,86.06%,10.06%,14.36%,2.3,God
Mage,TOP,32.09,-5.5,49.18%,12.26%,1.33%,14.36%,1.89,C
Mage,MID,53.47,-2.24,50.13%,74.35%,4.26%,5.74%,2.39,A
Mage,TOP,31.85,-1.02,48.86%,24.09%,1.43%,5.74%,2.01,C
Fighter,TOP,52.12,19.91,50.94%,54.41%,3.31%,1.81%,1.97,A
Fighter,JUNGLE,49.51,9.88,52.51%,43.27%,2.85%,1.81%,2.68,A
Fighter,JUNGLE,52.86,0.08,50.29%,76.78%,5.64%,5.41%,2.24,A
Fighter,TOP,33.28,1.93,50.80%,21.75%,1.11%,5.41%,1.91,C
Fighter,TOP,42.31,-0.93,50.55%,77.73%,2.13%,0.60%,2.12,B
Fighter,JUNGLE,28.46,-4.46,47.71%,13.65%,0.35%,0.59%,2.43,D
Marksman,ADC,38.77,-1.77,50.54%,98.17%,3.10%,0.40%,2.35,B
Mage,MID,55.28,2.03,51.28%,39.07%,2.89%,5.18%,3.26,A
Mage,SUPPORT,46.93,-2.76,49.58%,55.82%,4.29%,5.18%,2.53,A
Fighter,JUNGLE,62.72,5.68,50.81%,96.56%,7.85%,5.20%,2.45,S
Fighter,MID,91.15,4.99,50.51%,72.52%,11.65%,24.00%,1.78,God
Fighter,TOP,41.32,1.36,48.22%,16.41%,2.55%,24.00%,1.46,B
Fighter,ADC,32.91,-1.5,49.98%,10.51%,1.62%,24.00%,1.97,C
Assassin,TOP,72.95,1.08,48.70%,38.63%,5.30%,23.93%,1.62,S
Assassin,MID,72.38,-1.79,48.24%,59.62%,8.83%,23.93%,1.85,S
Fighter,TOP,49.59,3.52,52.94%,97.21%,2.69%,2.47%,1.61,A
Support,SUPPORT,87.74,8.01,48.07%,98.86%,10.85%,27.62%,4.1,God
Tank,JUNGLE,55.58,-2.24,50.98%,86.05%,4.24%,2.12%,3.47,A
Assassin,MID,81.36,-9.14,50.77%,71.06%,7.55%,35.39%,2.29,God
Assassin,JUNGLE,39.25,-9.93,47.35%,25.53%,2.48%,35.39%,2.39,B
Marksman,ADC,86.11,0,48.38%,75.27%,17.13%,34.16%,2.23,God
Marksman,MID,43.21,0,46.87%,12.78%,2.69%,34.16%,2.01,B
Mage,MID,41.8,5.36,50.59%,30.03%,0.92%,0.47%,2.45,B
Mage,ADC,41.15,-2.48,52.23%,63.47%,1.89%,0.46%,2.58,B
Support,MID,53.06,0.86,53.20%,21.93%,0.98%,2.00%,3.47,A
Support,SUPPORT,47.14,-2.3,50.10%,73.12%,3.37%,2.00%,3.12,A
Mage,MID,47.71,-2.06,49.43%,94.46%,3.05%,1.17%,2.56,A
Mage,SUPPORT,48.17,-1.39,52.21%,93.51%,3.68%,1.97%,2.16,A
